File: vmcore-checker-prof-linux-arm64
Build ID: 817118e84df41990f65a9c4b97929236624a9e42
Type: inuse_space
Time: 2026-07-14 16:08:55 EDT
Showing nodes accounting for 1026kB, 100% of 1026kB total
Showing top 10 nodes out of 11
      flat  flat%   sum%        cum   cum%
    1026kB   100%   100%     1026kB   100%  runtime.allocm
         0     0%   100%      513kB 50.00%  runtime.mcall
         0     0%   100%      513kB 50.00%  runtime.mstart
         0     0%   100%      513kB 50.00%  runtime.mstart0
         0     0%   100%      513kB 50.00%  runtime.mstart1
         0     0%   100%     1026kB   100%  runtime.newm
         0     0%   100%      513kB 50.00%  runtime.park_m
         0     0%   100%     1026kB   100%  runtime.resetspinning
         0     0%   100%     1026kB   100%  runtime.schedule
         0     0%   100%     1026kB   100%  runtime.startm
