File: vmcore-checker-prof-linux-arm64
Build ID: 7f04f16a893ea2cbff9d17c65fba1d9341a16c4c
Type: inuse_space
Time: 2026-07-14 16:26:32 EDT
Showing nodes accounting for 1542.76kB, 100% of 1542.76kB total
Showing top 10 nodes out of 14
      flat  flat%   sum%        cum   cum%
    1026kB 66.50% 66.50%     1026kB 66.50%  runtime.allocm
  516.76kB 33.50%   100%   516.76kB 33.50%  runtime.procresize
         0     0%   100%      513kB 33.25%  runtime.mcall
         0     0%   100%      513kB 33.25%  runtime.mstart
         0     0%   100%      513kB 33.25%  runtime.mstart0
         0     0%   100%      513kB 33.25%  runtime.mstart1
         0     0%   100%     1026kB 66.50%  runtime.newm
         0     0%   100%      513kB 33.25%  runtime.park_m
         0     0%   100%     1026kB 66.50%  runtime.resetspinning
         0     0%   100%   516.76kB 33.50%  runtime.rt0_go
